Id,date,TotalSteps,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalIntensity,avg_hr,max_hr,min_hr,hr_std,hr_range,TotalMinutesAsleep,TotalTimeInBed,sleep_hours,sleep_efficiency,mood_score,productivity_score
1624580081,2016-04-22,4026,1470,0,0,199,1241,199.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.444507980208026,2.982638888888889
1624580081,2016-04-23,8538,1562,0,0,227,1213,227.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.483396869096915,3.0215277777777776
1624580081,2016-04-24,6076,1617,16,18,185,1221,269.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,5.138952424652469,4.899305555555555
1624580081,2016-04-25,6497,1492,0,0,202,1238,202.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.448674646874693,2.9868055555555557
1624580081,2016-04-26,2826,1402,0,0,140,1300,140.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.362563535763582,2.9006944444444445
1624580081,2016-04-27,8367,1670,17,36,154,1233,277.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,5.163952424652471,5.938194444444445
1624580081,2016-04-28,2759,1401,0,5,115,1320,125.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.334785757985804,3.1506944444444445
1624580081,2016-04-29,2390,1404,0,0,150,1290,150.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.37645242465247,2.9145833333333333
1624580081,2016-04-30,6474,1655,11,23,224,1182,303.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.9847857579858035,4.9534722222222225
1624580081,2016-05-01,36019,2690,186,63,171,1020,855.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,10.0,10.0
1624580081,2016-05-02,7155,1497,7,6,166,1261,199.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.708396869096915,3.677083333333333
1624580081,2016-05-03,2100,1334,0,0,96,1344,96.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.30145242465247,2.839583333333333
1624580081,2016-05-04,2193,1368,0,0,118,1322,118.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.332007980208026,2.870138888888889
1624580081,2016-05-05,2470,1370,0,0,117,1323,117.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.330619091319137,2.86875
1624580081,2016-05-06,1727,1341,0,0,102,1338,102.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.309785757985804,2.8479166666666664
1624580081,2016-05-07,2104,1474,0,0,182,1258,182.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.420896869096915,2.959027777777778
1624580081,2016-05-08,3427,1427,0,0,152,1288,152.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.379230202430247,2.917361111111111
1624580081,2016-05-09,1732,1328,0,0,91,1349,91.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.294507980208025,2.832638888888889
1624580081,2016-05-10,2969,1393,0,0,139,1301,139.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.361174646874693,2.899305555555556
1624580081,2016-05-11,3134,1359,0,0,112,1328,112.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.323674646874692,2.8618055555555557
1624580081,2016-05-12,2971,1002,0,0,107,890,99.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.932007980208026,3.470138888888889
1644430081,2016-04-12,10694,3199,2,51,256,1131,364.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.680619091319137,6.079861111111111
1644430081,2016-04-13,8001,2902,30,16,135,1259,257.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,5.669507980208026,5.513194444444444
1644430081,2016-04-14,11037,3226,5,58,252,1125,383.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.81395242465247,6.643749999999999
1644430081,2016-04-15,5263,2750,3,4,170,1263,187.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,4.538952424652471,3.3409722222222222
1644430081,2016-04-16,15300,3493,51,42,212,1135,449.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,6.716730202430248,8.296527777777778
1644430081,2016-04-17,8757,3011,29,13,186,1212,299.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,5.693119091319137,5.356249999999999
1644430081,2016-04-18,7132,2806,15,33,121,1271,232.0,78.6332321970373,135.0,53.0,13.665153393348703,83.0,,,7.216666666666667,0.9426385708997683,5.027841313541359,5.607638888888889
